Protocol,SourceAddress,DestinationAddress,SourcePort,DestinationPort,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,ThroughputKbps,MeanDelayMs,MeanJitterMs
TCP,10.1.1.1,10.1.2.2,49153,7,1957,1957,0,2102664,2102664,2046.8,5.72229,0.00167853
UDP,10.1.3.1,10.1.4.2,49153,9,1954,1954,0,2055608,2055608,2006.13,5.6864,0
