Protocol,SourceAddress,DestinationAddress,SourcePort,DestinationPort,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,ThroughputKbps,MeanDelayMs,MeanJitterMs
TCP,10.1.1.1,10.1.2.2,49153,7,1943,1862,35,2088624,2001468,823.052,503.761,6.27855
UDP,10.1.3.1,10.1.2.2,49153,9,2551,2456,34,2683652,2583712,1063.14,482.523,2.60457
