Protocol,SourceAddress,DestinationAddress,SourcePort,DestinationPort,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,ThroughputKbps,MeanDelayMs,MeanJitterMs
TCP,10.1.1.1,10.1.2.2,49153,7,1919,1853,31,2062800,1991784,536.629,440.499,6.6785
UDP,10.1.3.1,10.1.2.2,49153,9,8850,4982,3682,9310200,5241064,1412.42,935.551,2.47156
