Protocol,SourceAddress,DestinationAddress,SourcePort,DestinationPort,Mbps,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,ThroughputKbps,MeanDelayMs,MeanJitterMs
TCP,10.1.1.1,10.1.2.2,49153,7,1Mbps,7203,7201,0,7748384,7746232,1025.84,10.0984,0.000835555
UDP,10.1.3.1,10.1.2.2,49153,9,1Mbps,7202,7201,0,7576504,7575452,1003.26,8.216,0
TCP,10.1.1.1,10.1.2.2,49153,7,2Mbps,12872,12757,76,13848228,13724488,1817.34,161.499,2.8446
UDP,10.1.3.1,10.1.2.2,49153,9,2Mbps,14404,14340,23,15153008,15085680,1997.79,152.208,1.03279
TCP,10.1.1.1,10.1.2.2,49153,7,3Mbps,9652,9547,70,10383508,10270528,1360.18,218.603,2.93316
UDP,10.1.3.1,10.1.2.2,49153,9,3Mbps,21606,18213,3303,22729512,19160076,2537.22,240.567,1.31652
TCP,10.1.1.1,10.1.2.2,49153,7,4Mbps,9663,9602,34,10395344,10329708,1368.16,224.409,2.96071
UDP,10.1.3.1,10.1.2.2,49153,9,4Mbps,28808,18166,10461,30306016,19110632,2530.64,601.555,1.10443
