Protocol,SourceAddress,DestinationAddress,SourcePort,DestinationPort,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,ThroughputKbps,MeanDelayMs,MeanJitterMs
TCP,10.1.1.1,10.1.2.2,49153,7,101,101,0,105608,105608,1948.04,6.46549,0.04944
UDP,10.1.3.1,10.1.2.2,49153,9,98,98,0,103096,103096,1998.61,5.6864,0
