Protocol,SourceAddress,DestinationAddress,SourcePort,DestinationPort,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,ThroughputKbps,MeanDelayMs,MeanJitterMs
TCP,10.1.1.1,10.1.2.2,49153,7,13,13,0,10920,10920,1352.31,5.85821,0.412
UDP,10.1.3.1,10.1.2.2,49153,9,10,10,0,10520,10520,1931.53,5.6864,0
