Protocol,SourceAddress,DestinationAddress,SourcePort,DestinationPort,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,ThroughputKbps,MeanDelayMs,MeanJitterMs
TCP,10.1.1.1,10.1.2.2,49153,7,980,980,0,1051412,1051412,2041.33,6.54596,0.00505413
UDP,10.1.3.1,10.1.2.2,49153,9,977,977,0,1027804,1027804,2005.73,5.6864,0
